datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2020-02-18 15:00:00,76.50184,88.13022,172712.3,105845.9,31.0,988.4,-8.35,2.7,100.0,0.006,0.074
2020-02-18 16:00:00,76.38412,88.13547,172443.5,105194.4,61.5,988.1,-8.35,3.11,100.0,0.006,0.082
2020-02-18 17:00:00,76.26021,88.14094,172164.5,104513.9,61.5,987.7,-8.36,3.31,100.0,0.0,0.098
2020-02-18 18:00:00,76.13323,88.14674,171856.9,103806.7,61.5,987.5,-8.34,3.79,100.0,0.001,0.151
2020-02-18 19:00:00,76.00793,88.15288,171513.5,103088.0,61.5,987.3,-8.32,4.39,100.0,0.007,0.174
2020-02-18 20:00:00,75.88066,88.15892,171180.1,102370.7,61.5,987.4,-8.21,4.82,100.0,0.002,0.137
2020-02-18 21:00:00,75.75008,88.1648,170866.3,101655.1,61.5,987.5,-8.03,5.16,100.0,0.003,0.1
2020-02-18 22:00:00,75.61937,88.17048,170567.5,100951.2,61.5,987.4,-8.92,4.47,100.0,0.002,0.073
2020-02-18 23:00:00,75.48444,88.17613,170277.4,100238.8,61.5,986.9,-8.97,3.96,100.0,0.0,0.077
2020-02-19 00:00:00,75.33708,88.18173,170010.7,99493.9,61.5,986.5,-9.46,3.45,100.0,0.0,0.072
2020-02-19 01:00:00,75.17835,88.18713,169779.8,98728.4,61.5,986.3,-10.2,3.12,100.0,0.0,0.066
2020-02-19 02:00:00,75.00912,88.19285,169534.3,97916.7,61.5,985.4,-10.95,3.44,100.0,0.0,0.084
2020-02-19 03:00:00,74.82247,88.19913,169261.9,97025.4,61.5,985.2,-11.36,3.86,100.0,0.0,0.102
2020-02-19 04:00:00,74.61619,88.20639,168925.9,96026.4,61.5,984.7,-11.6,4.36,100.0,0.001,0.146
2020-02-19 05:00:00,74.40014,88.21396,168572.5,94986.3,61.5,984.2,-11.84,4.61,100.0,0.003,0.171
2020-02-19 06:00:00,74.17626,88.22167,168213.2,93919.8,61.5,983.7,-12.08,4.86,100.0,0.003,0.178
2020-02-19 07:00:00,73.93589,88.22928,167883.9,92814.1,61.5,983.5,-12.26,5.06,100.0,0.0,0.184
2020-02-19 08:00:00,73.71083,88.23737,167478.4,91732.9,61.5,983.0,-12.2,4.98,100.0,0.0,0.193
2020-02-19 09:00:00,73.47834,88.24501,167122.1,90658.1,61.5,983.2,-12.18,4.85,100.0,0.0,0.198
2020-02-19 10:00:00,73.25112,88.25227,166786.5,89621.8,61.5,982.3,-11.99,5.08,100.0,0.007,0.194
2020-02-19 11:00:00,73.03174,88.25924,166461.9,88627.7,61.5,981.9,-12.03,4.26,100.0,0.01,0.22
2020-02-19 12:00:00,72.8188,88.2659,166152.2,87671.8,61.5,981.6,-12.39,3.83,100.0,0.007,0.218
2020-02-19 13:00:00,72.61295,88.27225,165857.0,86755.7,61.5,981.1,-12.38,3.96,100.0,0.004,0.169
2020-02-19 14:00:00,72.4086,88.27852,165561.5,85850.4,61.5,980.9,-12.18,4.01,100.0,0.001,0.149
2020-02-19 15:00:00,72.20471,88.28473,165268.0,84953.4,61.5,980.4,-11.98,3.85,100.0,0.001,0.169
2020-02-19 16:00:00,71.99999,88.29105,164960.1,84051.3,61.5,980.3,-11.85,3.67,100.0,0.003,0.179
2020-02-19 17:00:00,71.79089,88.29751,164641.0,83133.3,61.5,979.7,-11.78,3.7,100.0,0.005,0.203
2020-02-19 18:00:00,71.5848,88.30382,164327.6,82234.6,61.5,979.5,-11.6,3.86,100.0,0.001,0.193
2020-02-19 19:00:00,71.38122,88.30986,164032.8,81359.6,61.5,979.0,-11.38,4.06,100.0,0.003,0.158
2020-02-19 20:00:00,71.18116,88.31534,163782.7,80524.2,61.5,979.1,-11.13,4.31,100.0,0.001,0.13
2020-02-19 21:00:00,70.98598,88.32097,163507.8,79698.6,61.5,978.8,-10.88,4.68,100.0,0.001,0.112
2020-02-19 22:00:00,70.794,88.32618,163266.0,78904.8,61.5,978.9,-9.86,3.63,100.0,0.004,0.097
2020-02-19 23:00:00,70.6078,88.33124,163026.6,78136.6,61.5,979.1,-10.13,3.92,100.0,0.003,0.12
2020-02-20 00:00:00,70.42593,88.3361,162797.9,77392.4,61.5,978.8,-10.21,4.34,100.0,0.003,0.184
2020-02-20 01:00:00,70.24607,88.34077,162582.7,76665.3,61.5,978.7,-10.21,4.49,100.0,0.002,0.161
2020-02-20 02:00:00,70.0679,88.34518,162388.1,75957.2,61.5,978.7,-10.15,4.7,100.0,0.004,0.162
2020-02-20 03:00:00,69.88938,88.34956,162192.7,75250.8,61.5,978.4,-10.03,4.93,100.0,0.002,0.15
2020-02-20 04:00:00,69.70942,88.35432,161960.4,74525.7,61.5,978.5,-9.7,4.95,100.0,0.001,0.114
2020-02-20 05:00:00,69.5297,88.35932,161700.7,73792.5,61.5,977.9,-9.6,4.89,100.0,0.002,0.121
2020-02-20 06:00:00,69.35532,88.36413,161449.7,73085.1,61.5,978.3,-9.56,4.93,100.0,0.001,0.118
2020-02-20 07:00:00,69.18805,88.36881,161199.4,72405.5,61.5,978.0,-9.63,5.02,100.0,0.002,0.112
2020-02-20 08:00:00,69.02619,88.37338,160951.0,71748.2,61.5,978.0,-9.69,4.98,100.0,0.01,0.117
2020-02-20 09:00:00,68.86504,88.37781,160712.9,71100.9,61.5,978.1,-9.68,4.87,100.0,0.001,0.111
2020-02-20 10:00:00,68.70538,88.38233,160462.7,70456.2,61.5,978.0,-9.28,4.71,100.0,0.001,0.105
2020-02-20 11:00:00,68.55679,88.38708,160173.2,69834.1,61.5,977.7,-9.45,4.32,100.0,0.001,0.085
2020-02-20 12:00:00,68.41827,88.39216,159836.0,69227.7,61.5,977.2,-9.46,4.57,100.0,0.003,0.086
2020-02-20 13:00:00,68.29148,88.39755,159452.6,68643.0,61.5,977.2,-9.04,5.57,100.0,0.004,0.067
2020-02-20 14:00:00,68.18789,88.40328,159005.7,68110.2,61.5,977.4,-7.88,7.16,100.0,0.004,0.056
2020-02-20 15:00:00,68.10618,88.40911,158521.8,67635.5,61.5,977.7,-6.74,8.11,100.0,0.002,0.044
2020-02-20 16:00:00,68.04238,88.41487,158022.1,67214.4,61.5,978.4,-6.39,8.85,100.0,0.001,0.042
2020-02-20 17:00:00,67.98947,88.42044,157528.6,66832.7,61.5,979.0,-5.9,10.37,100.0,0.001,0.037
2020-02-20 18:00:00,67.93817,88.42557,157077.3,66475.4,61.5,979.9,-4.74,11.35,98.9,0.0,0.024
2020-02-20 19:00:00,67.88518,88.43012,156684.5,66138.4,61.5,980.9,-4.04,10.96,98.8,0.0,0.005
2020-02-20 20:00:00,67.81464,88.43417,156361.1,65775.2,61.5,981.9,-4.03,10.03,51.8,0.0,0.001
2020-02-20 21:00:00,67.72948,88.43818,156057.7,65374.7,61.5,982.9,-4.75,7.75,75.2,0.0,0.003
2020-02-20 22:00:00,67.63079,88.44216,155772.0,64939.9,61.5,983.2,-7.15,5.8,96.6,0.006,0.008
2020-02-20 23:00:00,67.51301,88.44638,155482.7,64444.4,61.5,983.0,-8.7,5.42,99.3,0.006,0.017
2020-02-21 00:00:00,67.37995,88.45096,155173.7,63894.5,61.5,982.3,-9.36,5.5,99.9,0.002,0.025
2020-02-21 01:00:00,67.25756,88.45564,154840.2,63370.6,62.0,981.7,-9.65,5.64,97.4,0.001,0.026
2020-02-21 02:00:00,67.14765,88.46023,154501.1,62886.1,61.5,981.5,-9.54,6.34,99.9,0.0,0.022
2020-02-21 03:00:00,67.05019,88.4647,154158.8,62441.3,61.5,981.1,-8.63,7.11,93.4,0.002,0.019
2020-02-21 04:00:00,66.94872,88.46958,153778.8,61970.6,61.5,980.9,-7.38,7.65,79.4,0.002,0.016
2020-02-21 05:00:00,66.85301,88.47425,153412.3,61525.3,61.5,980.5,-6.57,7.97,83.6,0.001,0.019
2020-02-21 06:00:00,66.75421,88.47882,153058.3,61077.1,61.5,980.5,-6.36,8.09,93.6,0.0,0.027
2020-02-21 07:00:00,66.63061,88.48257,152811.9,60597.0,61.5,980.6,-6.36,8.18,98.0,0.0,0.035
2020-02-21 08:00:00,66.54937,88.48769,152382.2,60176.7,61.5,980.6,-6.47,8.32,98.3,0.0,0.037
2020-02-21 09:00:00,66.45062,88.49238,152012.7,59728.1,61.5,980.4,-6.46,8.38,99.1,0.0,0.034
2020-02-21 10:00:00,66.35041,88.4969,151660.8,59283.9,61.5,980.7,-6.23,8.77,99.8,0.0,0.031
2020-02-21 11:00:00,66.26062,88.50136,151303.2,58870.9,61.5,980.6,-5.54,8.71,99.7,0.001,0.04
2020-02-21 12:00:00,66.17773,88.50581,150938.7,58477.8,61.5,980.5,-5.51,9.18,100.0,0.001,0.061
2020-02-21 13:00:00,66.10472,88.51024,150565.5,58112.6,61.5,981.2,-5.61,9.22,100.0,0.0,0.064
2020-02-21 14:00:00,66.03916,88.51452,150198.4,57773.6,61.5,980.6,-6.03,8.97,100.0,0.002,0.069
2020-02-21 15:00:00,65.97447,88.51872,149839.1,57441.3,61.5,980.8,-6.35,8.75,100.0,0.0,0.057
2020-02-21 16:00:00,65.90338,88.52306,149470.8,57087.5,61.5,980.6,-6.67,9.09,100.0,0.0,0.058
2020-02-21 17:00:00,65.82269,88.52756,149095.3,56703.6,61.5,980.7,-6.83,9.54,99.9,0.001,0.068
2020-02-21 18:00:00,65.73761,88.53228,148701.4,56301.1,61.5,980.8,-7.07,10.1,100.0,0.001,0.069
2020-02-21 19:00:00,65.65286,88.53706,148299.5,55898.3,61.5,981.0,-6.89,10.36,100.0,0.001,0.071
2020-02-21 20:00:00,65.57124,88.54191,147887.1,55502.4,61.5,981.7,-6.5,10.45,100.0,0.001,0.068
2020-02-21 21:00:00,65.49169,88.54625,147523.9,55132.6,61.5,981.7,-6.01,11.16,100.0,0.001,0.058
2020-02-21 22:00:00,65.41566,88.55019,147196.7,54787.8,61.5,981.7,-5.69,11.11,100.0,0.001,0.061
2020-02-21 23:00:00,65.33483,88.55374,146912.6,54446.2,62.0,982.0,-4.99,11.23,99.8,0.001,0.07
2020-02-22 00:00:00,65.24757,88.55672,146692.6,54110.7,61.5,982.0,-5.35,10.64,100.0,0.0,0.07
2020-02-22 01:00:00,65.16164,88.55967,146474.2,53780.7,61.5,982.7,-5.75,10.24,100.0,0.0,0.058
2020-02-22 02:00:00,65.07534,88.56248,146268.4,53455.3,61.5,983.3,-5.61,10.35,100.0,0.001,0.05
2020-02-22 03:00:00,64.99297,88.56521,146067.6,53144.0,61.5,983.8,-4.81,10.37,100.0,0.002,0.034
2020-02-22 04:00:00,64.91785,88.56783,145869.8,52855.5,61.5,984.0,-4.05,10.02,100.0,0.001,0.032
2020-02-22 05:00:00,64.83703,88.57008,145715.6,52567.3,61.5,984.6,-3.69,9.35,99.9,0.001,0.043
2020-02-22 06:00:00,64.74644,88.57212,145590.2,52262.0,61.5,985.2,-3.63,8.71,100.0,0.0,0.052
2020-02-22 07:00:00,64.6604,88.57398,145479.0,51975.6,61.5,985.6,-3.75,8.03,99.9,0.0,0.046
2020-02-22 08:00:00,64.57587,88.57563,145386.5,51700.8,61.5,986.3,-4.09,7.37,100.0,0.001,0.034
2020-02-22 09:00:00,64.49352,88.57686,145334.9,51447.3,61.5,986.9,-4.55,6.84,100.0,0.001,0.031
2020-02-22 10:00:00,64.41619,88.57781,145307.6,51217.0,61.5,987.1,-4.31,6.51,100.0,0.002,0.018
2020-02-22 11:00:00,64.34765,88.57849,145299.4,51018.8,61.5,987.7,-4.45,6.11,100.0,0.002,0.016
2020-02-22 12:00:00,64.27442,88.57934,145277.4,50802.6,61.5,988.1,-4.68,5.58,100.0,0.003,0.02
2020-02-22 13:00:00,64.20811,88.57993,145275.7,50613.4,61.5,988.5,-4.95,4.92,100.0,0.001,0.017
2020-02-22 14:00:00,64.14722,88.58055,145266.4,50437.1,61.5,988.5,-5.02,4.5,100.0,0.001,0.012
2020-02-22 15:00:00,64.09438,88.58065,145302.1,50299.4,61.5,988.9,-5.05,4.04,99.8,0.006,0.013
2020-02-22 16:00:00,64.03675,88.58007,145412.4,50173.9,61.5,988.6,-5.34,3.59,99.6,0.011,0.026
2020-02-22 17:00:00,63.95613,88.57914,145577.3,50001.6,61.5,989.0,-5.63,3.25,99.4,0.003,0.026
2020-02-22 18:00:00,63.84907,88.57851,145736.0,49751.9,61.5,989.0,-6.12,2.73,97.8,0.001,0.019
2020-02-22 19:00:00,63.7248,88.57825,145869.6,49444.5,61.5,989.1,-6.69,2.21,99.8,0.0,0.007
2020-02-22 20:00:00,63.58793,88.57825,145987.6,49096.0,61.5,989.4,-7.11,1.41,99.1,0.0,0.004
2020-02-22 21:00:00,63.44033,88.57827,146111.4,48719.0,61.5,989.3,-7.32,0.69,99.8,0.0,0.008
2020-02-22 22:00:00,63.28168,88.57824,146249.2,48315.4,61.5,989.1,-6.87,0.09,99.5,0.0,0.021
2020-02-22 23:00:00,63.12414,88.57818,146386.8,47914.9,61.5,988.8,-7.16,-0.25,100.0,0.001,0.023
2020-02-23 00:00:00,62.96894,88.57836,146498.4,47512.4,61.5,989.1,-7.11,-0.17,100.0,0.001,0.023
2020-02-23 01:00:00,62.8161,88.57874,146585.3,47108.8,61.5,989.3,-6.97,0.17,99.9,0.002,0.022
2020-02-23 02:00:00,62.66691,88.57939,146639.9,46705.5,61.5,989.4,-6.57,0.45,99.0,0.005,0.02
2020-02-23 03:00:00,62.51176,88.58015,146687.4,46283.5,61.5,989.5,-6.38,0.27,99.8,0.01,0.016
2020-02-23 04:00:00,62.36353,88.58105,146714.1,45874.9,61.5,989.5,-6.63,-0.01,100.0,0.014,0.016
2020-02-23 05:00:00,62.2038,88.58243,146698.7,45421.5,61.5,989.6,-6.95,-0.01,99.6,0.009,0.017
2020-02-23 06:00:00,62.04788,88.58376,146683.4,44979.7,61.5,990.0,-7.2,0.33,99.6,0.004,0.021
2020-02-23 07:00:00,61.88687,88.58539,146640.0,44515.9,61.5,990.0,-7.27,0.67,99.7,0.003,0.031
2020-02-23 08:00:00,61.71535,88.58737,146567.7,44015.2,61.5,990.6,-7.5,0.84,99.0,0.002,0.037
2020-02-23 09:00:00,61.5445,88.589,146528.6,43527.6,61.5,990.9,-7.73,1.3,95.2,0.0,0.02
2020-02-23 10:00:00,61.37053,88.59063,146490.9,43032.8,61.5,991.3,-7.31,1.57,84.7,0.002,0.013
2020-02-23 11:00:00,61.18824,88.59248,146435.0,42510.7,61.5,991.6,-7.73,1.54,94.7,0.008,0.006
2020-02-23 12:00:00,61.00434,88.59416,146394.9,41990.1,61.5,991.9,-8.57,1.44,100.0,0.018,0.007
2020-02-23 13:00:00,60.82115,88.59569,146368.9,41476.6,61.5,992.2,-9.15,1.37,100.0,0.021,0.008
2020-02-23 14:00:00,60.63603,88.59696,146370.4,40966.6,61.5,992.4,-9.21,1.15,100.0,0.02,0.011
2020-02-23 15:00:00,60.45049,88.5978,146414.2,40468.0,61.5,992.6,-9.29,0.66,100.0,0.021,0.008
2020-02-23 16:00:00,60.25414,88.59851,146477.6,39945.8,61.5,992.6,-9.32,-0.01,100.0,0.021,0.005
2020-02-23 17:00:00,60.0462,88.59909,146561.3,39397.6,61.5,992.5,-9.3,-0.49,100.0,0.02,0.005
2020-02-23 18:00:00,59.83138,88.59943,146672.1,38838.4,61.5,992.9,-9.32,-1.01,100.0,0.02,0.005
2020-02-23 19:00:00,59.60038,88.59973,146796.3,38238.6,61.5,992.7,-9.81,-1.71,98.2,0.017,0.005
2020-02-23 20:00:00,59.35894,88.60001,146926.8,37612.2,61.5,993.0,-10.64,-2.2,99.9,0.019,0.005
2020-02-23 21:00:00,59.11358,88.6002,147066.2,36977.5,61.5,992.9,-10.94,-2.68,99.6,0.019,0.006
2020-02-23 22:00:00,58.86194,88.60018,147229.2,36331.8,61.5,992.6,-9.41,-3.08,98.7,0.013,0.004
2020-02-23 23:00:00,58.59589,88.59992,147424.4,35654.5,61.5,992.7,-9.85,-3.97,100.0,0.009,0.002
2020-02-24 00:00:00,58.31371,88.59926,147667.1,34944.3,61.5,992.2,-10.34,-4.48,97.2,0.007,0.004
2020-02-24 01:00:00,58.01959,88.59851,147924.0,34204.2,61.5,992.3,-10.54,-4.63,98.8,0.007,0.003
2020-02-24 02:00:00,57.71869,88.59773,148183.6,33445.4,61.5,992.2,-10.83,-4.27,96.7,0.004,0.005
2020-02-24 03:00:00,57.42823,88.5963,148503.0,32727.2,61.5,992.1,-10.71,-3.9,100.0,0.002,0.005
2020-02-24 04:00:00,57.12658,88.59551,148756.8,31962.9,61.5,991.7,-10.41,-3.85,99.9,0.001,0.008
2020-02-24 05:00:00,56.80789,88.59463,149025.2,31154.4,61.5,991.6,-10.38,-3.94,99.5,0.0,0.014
2020-02-24 06:00:00,56.45783,88.59386,149294.7,30259.9,61.5,991.4,-10.72,-4.14,99.2,0.001,0.03
2020-02-24 07:00:00,56.08913,88.5934,149535.2,29308.2,61.5,991.1,-10.83,-4.43,99.7,0.001,0.051
2020-02-24 08:00:00,55.70578,88.5929,149781.0,28317.1,61.5,991.4,-10.73,-4.75,100.0,0.0,0.064
2020-02-24 09:00:00,55.31294,88.59222,150044.7,27302.8,61.5,990.9,-11.06,-4.84,100.0,0.0,0.079
2020-02-24 10:00:00,54.90998,88.59152,150307.2,26259.8,61.5,990.4,-12.4,-4.82,100.0,0.0,0.096
2020-02-24 11:00:00,54.52367,88.59046,150594.4,25264.8,61.5,990.2,-12.18,-4.46,100.0,0.0,0.083
2020-02-24 12:00:00,54.13244,88.58951,150864.9,24252.3,61.5,990.1,-12.51,-4.44,100.0,0.0,0.077
2020-02-24 13:00:00,53.75232,88.58862,151117.6,23265.5,61.5,990.4,-12.3,-4.73,100.0,0.001,0.074
2020-02-24 14:00:00,53.37832,88.58771,151363.9,22292.9,61.5,990.6,-11.76,-4.83,100.0,0.0,0.07
2020-02-24 15:00:00,53.01397,88.58686,151593.8,21342.8,62.0,990.5,-10.96,-5.12,100.0,0.0,0.076
2020-02-24 16:00:00,52.65072,88.58607,151810.8,20392.7,61.5,990.6,-10.73,-5.31,100.0,0.001,0.09
2020-02-24 17:00:00,52.28528,88.58524,152027.8,19435.5,61.5,990.4,-10.51,-5.66,100.0,0.001,0.098
2020-02-24 18:00:00,51.91849,88.5844,152238.9,18472.8,61.5,990.8,-10.44,-5.89,100.0,0.001,0.096
2020-02-24 19:00:00,51.54684,88.58347,152456.1,17496.4,61.5,990.6,-10.75,-5.84,100.0,0.001,0.096
2020-02-24 20:00:00,51.17479,88.58257,152662.9,16516.5,61.5,991.0,-10.86,-5.69,100.0,0.0,0.086
2020-02-24 21:00:00,50.80253,88.58167,152863.9,15534.2,61.5,991.2,-11.37,-5.52,100.0,0.0,0.081
2020-02-24 22:00:00,50.43012,88.58067,153070.2,14550.6,61.5,991.1,-11.36,-5.32,100.0,0.0,0.076
2020-02-24 23:00:00,50.05616,88.57959,153278.5,13561.5,61.5,991.7,-11.03,-5.77,100.0,0.0,0.086
2020-02-25 00:00:00,49.68369,88.5784,153491.3,12575.3,61.5,992.1,-11.1,-6.01,100.0,0.0,0.082
2020-02-25 01:00:00,49.31265,88.57711,153709.5,11591.6,61.5,992.4,-10.84,-5.99,100.0,0.0,0.071
2020-02-25 02:00:00,48.94303,88.5757,153932.8,10610.2,61.5,992.7,-10.75,-5.89,100.0,0.0,0.086
2020-02-25 03:00:00,48.57877,88.57432,154146.0,9640.7,61.5,993.2,-11.26,-5.82,100.0,0.001,0.076
2020-02-25 04:00:00,48.22283,88.57308,154337.4,8690.5,63.5,993.4,-12.27,-5.32,100.0,0.001,0.06
2020-02-25 05:00:00,47.87632,88.57188,154517.0,7763.5,64.0,994.0,-11.95,-5.24,100.0,0.008,0.065
2020-02-25 06:00:00,47.53375,88.57063,154696.1,6845.5,61.5,994.5,-11.75,-5.52,99.5,0.011,0.071
2020-02-25 07:00:00,47.1898,88.56932,154876.4,5922.1,61.5,994.9,-11.74,-5.7,99.9,0.008,0.057
2020-02-25 08:00:00,46.84514,88.56792,155060.7,4995.3,61.5,995.6,-10.79,-6.09,100.0,0.007,0.036
2020-02-25 09:00:00,46.49957,88.56639,155254.0,4064.3,61.5,996.5,-9.91,-6.54,100.0,0.011,0.021
2020-02-25 10:00:00,46.1583,88.56466,155462.9,3143.3,61.5,997.2,-10.39,-6.99,100.0,0.009,0.014
2020-02-25 11:00:00,45.82577,88.5627,155690.4,2244.0,61.5,997.6,-10.02,-6.94,99.0,0.006,0.005
2020-02-25 12:00:00,45.50162,88.56065,155922.8,1365.1,61.5,998.0,-9.56,-6.85,99.1,0.002,0.002
2020-02-25 13:00:00,45.19286,88.55851,156160.2,525.6,61.5,998.5,-9.51,-7.14,99.2,0.002,0.002
2020-02-25 14:00:00,44.90176,88.55625,156404.8,-268.2,61.5,999.2,-9.41,-7.36,99.4,0.002,0.002
2020-02-25 15:00:00,44.62308,88.55388,156659.1,-1030.6,61.5,999.5,-9.15,-7.68,99.8,0.001,0.002
2020-02-25 16:00:00,44.35469,88.55135,156925.9,-1767.5,61.5,999.8,-8.8,-7.86,98.5,0.002,0.002
2020-02-25 17:00:00,44.09486,88.54882,157191.1,-2483.5,61.5,1000.1,-8.41,-7.96,98.3,0.001,0.002
2020-02-25 18:00:00,43.84752,88.54635,157446.7,-3167.4,61.5,1000.5,-8.09,-8.12,97.9,0.0,0.002
2020-02-25 19:00:00,43.58414,88.54305,157787.9,-3900.0,61.5,1000.6,-7.78,-8.47,97.2,0.0,0.002
2020-02-25 20:00:00,43.33131,88.53991,158108.8,-4606.1,61.5,1001.3,-7.54,-8.69,98.5,0.0,0.002
2020-02-25 21:00:00,43.07555,88.53664,158440.2,-5323.7,61.5,1001.4,-7.36,-8.77,94.9,0.0,0.002
2020-02-25 22:00:00,42.81667,88.53329,158778.1,-6053.4,61.5,1002.1,-7.0,-9.15,99.6,0.0,0.001
2020-02-25 23:00:00,42.55493,88.52997,159108.2,-6794.0,61.5,1002.1,-6.76,-8.95,99.2,0.0,0.001
2020-02-26 00:00:00,42.29948,88.52663,159437.4,-7520.3,61.5,1002.4,-6.29,-9.08,99.0,0.0,0.001
2020-02-26 01:00:00,42.05308,88.52337,159756.3,-8224.1,61.5,1002.3,-6.08,-9.17,97.6,0.0,0.0
2020-02-26 02:00:00,41.81752,88.52026,160057.8,-8899.5,61.5,1002.5,-6.08,-9.09,99.0,0.0,0.0
2020-02-26 03:00:00,41.5968,88.51703,160370.9,-9536.8,61.5,1002.6,-5.94,-8.87,99.5,0.0,0.0
2020-02-26 04:00:00,41.3816,88.51401,160661.0,-10159.7,61.5,1002.6,-5.73,-8.76,98.8,0.0,0.0
2020-02-26 05:00:00,41.17426,88.51104,160944.7,-10762.6,61.5,1002.5,-5.43,-8.73,98.0,0.0,0.0
2020-02-26 06:00:00,40.97118,88.5079,161244.7,-11356.8,61.5,1002.4,-5.1,-8.89,96.6,0.0,0.0
2020-02-26 07:00:00,40.77223,88.50472,161547.8,-11942.1,61.5,1002.5,-4.78,-9.1,98.3,0.0,0.0
2020-02-26 08:00:00,40.57297,88.50148,161854.7,-12530.8,61.5,1002.8,-4.54,-9.12,98.7,0.0,0.0
2020-02-26 09:00:00,40.3729,88.49815,162169.6,-13125.1,61.5,1002.9,-4.37,-8.93,99.0,0.0,0.001
2020-02-26 10:00:00,40.17238,88.49482,162482.9,-13722.9,61.5,1002.9,-5.02,-8.94,99.6,0.0,0.001
2020-02-26 11:00:00,39.97186,88.49149,162792.6,-14323.1,61.5,1003.2,-4.75,-8.58,99.8,0.0,0.001
2020-02-26 12:00:00,39.77412,88.48811,163106.8,-14918.2,61.5,1003.2,-4.34,-8.41,99.3,0.0,0.001
2020-02-26 13:00:00,39.5833,88.48474,163420.1,-15495.8,61.5,1003.0,-3.97,-8.42,97.6,0.0,0.001
2020-02-26 14:00:00,39.4082,88.48144,163728.4,-16030.1,61.5,1003.2,-3.83,-8.41,91.3,0.0,0.002
2020-02-26 15:00:00,39.24907,88.47815,164037.4,-16520.4,61.5,1003.2,-3.75,-8.37,92.9,0.0,0.002
2020-02-26 16:00:00,39.09889,88.4748,164354.9,-16987.6,61.5,1003.2,-3.62,-8.24,99.4,0.001,0.003
2020-02-26 17:00:00,38.95493,88.47148,164669.6,-17438.5,61.5,1003.2,-3.5,-8.26,100.0,0.001,0.004
2020-02-26 18:00:00,38.81433,88.4682,164979.4,-17880.7,61.5,1003.2,-3.48,-8.16,100.0,0.001,0.004
2020-02-26 19:00:00,38.67342,88.4649,165289.6,-18325.8,61.5,1003.3,-3.4,-7.92,100.0,0.0,0.003
2020-02-26 20:00:00,38.52807,88.46159,165599.2,-18785.5,61.5,1003.6,-3.2,-7.74,100.0,0.001,0.003
2020-02-26 21:00:00,38.3787,88.45823,165911.2,-19259.1,61.5,1003.8,-2.97,-7.65,99.8,0.0,0.002
2020-02-26 22:00:00,38.22855,88.45485,166224.1,-19737.0,61.5,1003.5,-2.94,-7.59,99.8,0.0,0.002
2020-02-26 23:00:00,38.07618,88.45142,166539.4,-20223.7,61.5,1003.8,-2.94,-7.3,100.0,0.0,0.001
2020-02-27 00:00:00,37.92464,88.44801,166852.8,-20709.7,61.5,1003.8,-3.0,-6.97,97.4,0.0,0.001
2020-02-27 01:00:00,37.77996,88.44465,167160.5,-21176.7,61.5,1004.0,-2.96,-6.78,97.4,0.0,0.001
2020-02-27 02:00:00,37.64471,88.44134,167466.5,-21617.2,61.5,1004.2,-2.98,-6.63,96.4,0.0,0.001
2020-02-27 03:00:00,37.51893,88.43807,167769.8,-22030.9,61.5,1004.7,-2.84,-6.43,99.0,0.0,0.001
2020-02-27 04:00:00,37.40176,88.43485,168069.4,-22420.0,61.5,1004.5,-2.63,-6.4,98.3,0.0,0.001
2020-02-27 05:00:00,37.29185,88.4317,168364.5,-22788.2,61.5,1004.8,-2.34,-6.54,95.7,0.0,0.002
2020-02-27 06:00:00,37.186,88.42836,168680.4,-23148.3,61.5,1005.0,-2.22,-6.93,95.2,0.0,0.002
2020-02-27 07:00:00,37.07893,88.42491,169007.8,-23515.1,61.5,1005.0,-2.4,-7.26,97.4,0.0,0.003
2020-02-27 08:00:00,36.96069,88.42207,169263.1,-23906.8,61.5,1005.5,-2.74,-7.39,98.9,0.0,0.003
2020-02-27 09:00:00,36.8388,88.41883,169559.5,-24316.7,61.5,1006.2,-3.03,-7.23,99.9,0.0,0.002
2020-02-27 10:00:00,36.71301,88.41554,169858.6,-24740.3,61.5,1006.3,-3.0,-6.36,100.0,0.0,0.002
2020-02-27 11:00:00,36.58358,88.41219,170161.3,-25177.1,61.5,1006.8,-3.06,-6.25,98.8,0.0,0.001
2020-02-27 12:00:00,36.44799,88.40927,170413.7,-25626.7,61.5,1006.9,-2.84,-6.28,99.2,0.0,0.001
2020-02-27 13:00:00,36.31297,88.40626,170676.1,-26077.6,61.5,1007.2,-2.83,-6.54,99.9,0.0,0.001
2020-02-27 14:00:00,36.17934,88.40328,170933.3,-26525.0,61.5,1007.6,-3.09,-6.68,100.0,0.0,0.001
2020-02-27 15:00:00,36.04885,88.40047,171173.4,-26961.6,61.5,1008.1,-3.31,-6.75,100.0,0.0,0.001
2020-02-27 16:00:00,35.91847,88.39769,171408.6,-27398.6,61.5,1008.3,-3.49,-6.72,100.0,0.0,0.001
2020-02-27 17:00:00,35.7939,88.39493,171644.2,-27819.1,61.5,1008.6,-3.53,-6.7,100.0,0.0,0.001
2020-02-27 18:00:00,35.66923,88.39217,171878.0,-28240.9,61.5,1008.8,-3.61,-6.64,100.0,0.0,0.001
2020-02-27 19:00:00,35.54477,88.38934,172118.8,-28664.6,61.5,1009.0,-3.59,-6.6,100.0,0.0,0.001
