latitude,longitude,datetime
88.12476,76.12065,2020-02-18 15:00:11
88.13002,76.00275,2020-02-18 16:00:07
88.13546,75.87135,2020-02-18 17:00:09
88.14116,75.75117,2020-02-18 18:00:09
88.14725,75.61250,2020-02-18 19:00:14
88.15331,75.48861,2020-02-18 20:00:09
88.15972,75.34511,2020-02-18 21:00:13
88.16510,75.23202,2020-02-18 22:00:22
88.17049,75.09807,2020-02-18 23:00:30
88.17601,74.95204,2020-02-19 00:00:08
88.18143,74.79070,2020-02-19 01:00:08
88.18709,74.61998,2020-02-19 02:00:31
88.19332,74.43341,2020-02-19 03:00:07
88.20051,74.22453,2020-02-19 04:00:14
88.20811,74.01075,2020-02-19 05:00:07
88.21583,73.78476,2020-02-19 06:00:30
88.22353,73.55389,2020-02-19 07:00:07
88.23125,73.31384,2020-02-19 08:00:07
88.23822,73.07370,2020-02-19 09:00:16
88.24618,72.86131,2020-02-19 10:00:08
88.25301,72.63546,2020-02-19 11:00:11
88.25932,72.42159,2020-02-19 12:00:11
88.26572,72.21837,2020-02-19 13:00:10
88.27214,72.00756,2020-02-19 14:00:29
88.27849,71.81223,2020-02-19 15:00:11
88.28429,71.59669,2020-02-19 16:00:14
88.29102,71.39169,2020-02-19 17:00:14
88.29698,71.18481,2020-02-19 18:00:15
88.30324,70.97964,2020-02-19 19:00:29
88.30865,70.78036,2020-02-19 20:00:07
88.31423,70.58499,2020-02-19 21:00:07
88.31937,70.39254,2020-02-19 22:00:31
88.32440,70.20646,2020-02-19 23:00:09
88.32920,70.02256,2020-02-20 00:00:11
88.33387,69.84388,2020-02-20 01:00:08
88.33832,69.66167,2020-02-20 02:00:07
88.34257,69.48623,2020-02-20 03:00:32
88.34725,69.30354,2020-02-20 04:00:08
88.35211,69.12679,2020-02-20 05:00:10
88.35596,68.95850,2020-02-20 06:00:16
88.36174,68.78245,2020-02-20 07:00:29
88.36611,68.62366,2020-02-20 08:00:07
88.37054,68.46109,2020-02-20 09:00:08
88.37501,68.30150,2020-02-20 10:00:07
88.37965,68.14804,2020-02-20 11:00:14
88.38482,68.01226,2020-02-20 12:00:32
88.39012,67.88670,2020-02-20 13:00:07
88.39584,67.78352,2020-02-20 14:00:07
88.40170,67.70036,2020-02-20 15:00:32
88.40738,67.63560,2020-02-20 16:00:08
88.41290,67.58114,2020-02-20 17:00:07
88.41807,67.52896,2020-02-20 18:00:07
88.42266,67.47691,2020-02-20 19:00:10
88.42664,67.40366,2020-02-20 20:00:31
88.43059,67.31762,2020-02-20 21:00:11
88.43459,67.22040,2020-02-20 22:00:04
88.43877,67.10159,2020-02-20 23:00:06
88.44333,66.96626,2020-02-21 00:00:22
88.44802,66.84386,2020-02-21 01:00:29
88.45259,66.73312,2020-02-21 02:00:11
88.45721,66.62886,2020-02-21 03:00:11
88.46186,66.53398,2020-02-21 04:00:18
88.46642,66.43069,2020-02-21 05:00:10
88.47099,66.33521,2020-02-21 06:00:12
88.47533,66.23756,2020-02-21 07:00:11
88.47980,66.13905,2020-02-21 08:00:10
88.48451,66.03304,2020-02-21 09:00:12
88.48872,65.90306,2020-02-21 10:00:19
88.49348,65.83963,2020-02-21 11:00:30
88.49783,65.75612,2020-02-21 12:00:11
88.50230,65.68412,2020-02-21 13:00:07
88.50645,65.61651,2020-02-21 14:00:09
88.51072,65.55018,2020-02-21 15:00:12
88.51506,65.48210,2020-02-21 16:00:11
88.51945,65.40330,2020-02-21 17:00:11
88.52426,65.31394,2020-02-21 18:00:30
88.52898,65.22636,2020-02-21 19:00:10
88.53372,65.14462,2020-02-21 20:00:09
88.53810,65.06436,2020-02-21 21:00:18
88.54205,64.98555,2020-02-21 22:00:29
88.54552,64.90771,2020-02-21 23:00:07
88.54860,64.82128,2020-02-22 00:00:08
88.55151,64.73296,2020-02-22 01:00:31
88.55431,64.64640,2020-02-22 02:00:06
88.55698,64.56754,2020-02-22 03:00:09
88.55949,64.48611,2020-02-22 04:00:10
88.56190,64.40157,2020-02-22 05:00:25
88.56391,64.31716,2020-02-22 06:00:30
88.56577,64.22890,2020-02-22 07:00:08
88.56733,64.14499,2020-02-22 08:00:09
88.56861,64.06295,2020-02-22 09:00:11
88.56950,63.98282,2020-02-22 10:00:31
88.57027,63.91661,2020-02-22 11:00:07
88.57098,63.84257,2020-02-22 12:00:11
88.57159,63.77691,2020-02-22 13:00:10
88.57214,63.72080,2020-02-22 14:00:11
88.57241,63.66608,2020-02-22 15:00:11
88.57178,63.60508,2020-02-22 16:00:08
88.56992,63.52530,2020-02-22 17:00:23
88.57009,63.41927,2020-02-22 18:00:30
88.56989,63.29588,2020-02-22 19:00:08
88.56999,63.15729,2020-02-22 20:00:15
88.56984,63.01044,2020-02-22 21:00:11
88.56978,62.85528,2020-02-22 22:00:29
88.56969,62.69981,2020-02-22 23:00:10
88.56982,62.54373,2020-02-23 00:00:13
88.57018,62.39241,2020-02-23 01:00:31
88.57081,62.24483,2020-02-23 02:00:11
88.57161,62.08917,2020-02-23 03:00:11
88.57251,61.94060,2020-02-23 04:00:10
88.57401,61.78780,2020-02-23 05:00:11
88.57512,61.62564,2020-02-23 06:00:32
88.57677,61.46579,2020-02-23 07:00:20
88.57851,61.29695,2020-02-23 08:00:21
88.58027,61.12218,2020-02-23 09:00:13
88.58189,60.94999,2020-02-23 10:00:32
88.58363,60.76979,2020-02-23 11:00:11
88.58536,60.58577,2020-02-23 12:00:15
88.58685,60.40316,2020-02-23 13:00:14
88.58808,60.21704,2020-02-23 14:00:30
88.58891,60.03283,2020-02-23 15:00:08
88.58959,59.83866,2020-02-23 16:00:10
88.59015,59.63204,2020-02-23 17:00:11
88.59042,59.41609,2020-02-23 18:00:32
88.59074,59.18514,2020-02-23 19:00:07
88.59113,58.94393,2020-02-23 20:00:11
88.59126,58.69852,2020-02-23 21:00:07
88.59108,58.44928,2020-02-23 22:00:29
88.59074,58.18806,2020-02-23 23:00:05
88.59011,57.90467,2020-02-24 00:00:15
88.58916,57.61423,2020-02-24 01:00:10
88.58797,57.32077,2020-02-24 02:00:31
88.58705,57.02648,2020-02-24 03:00:09
88.58610,56.72958,2020-02-24 04:00:07
88.58526,56.41079,2020-02-24 05:00:07
88.58453,56.05993,2020-02-24 06:00:30
88.58391,55.69736,2020-02-24 07:00:14
88.58324,55.31736,2020-02-24 08:00:05
88.58254,54.92627,2020-02-24 09:00:13
88.58181,54.52346,2020-02-24 10:00:29
88.58069,54.14273,2020-02-24 11:00:07
88.57967,53.75446,2020-02-24 12:00:09
88.57867,53.37819,2020-02-24 13:00:08
88.57773,53.00439,2020-02-24 14:00:30
88.57687,52.64441,2020-02-24 15:00:07
88.57594,52.28346,2020-02-24 16:00:08
88.57516,51.92011,2020-02-24 17:00:14
88.57415,51.55575,2020-02-24 18:00:30
88.57316,51.18932,2020-02-24 19:00:07
88.57223,50.82062,2020-02-24 20:00:06
88.57117,50.44877,2020-02-24 21:00:09
88.57021,50.07923,2020-02-24 22:00:31
88.56906,49.71139,2020-02-24 23:00:06
88.56783,49.34188,2020-02-25 00:00:07
88.56645,48.97212,2020-02-25 01:00:31
88.56498,48.60784,2020-02-25 02:00:06
88.56358,48.24587,2020-02-25 03:00:07
88.56231,47.89832,2020-02-25 04:00:08
88.56114,47.55056,2020-02-25 05:00:22
88.55972,47.20839,2020-02-25 06:00:30
88.55842,46.87104,2020-02-25 07:00:08
88.55690,46.52923,2020-02-25 08:00:10
88.55540,46.19456,2020-02-25 09:00:11
88.55353,45.84605,2020-02-25 10:00:29
88.55157,45.51869,2020-02-25 11:00:05
88.54946,45.19762,2020-02-25 12:00:04
88.54731,44.88836,2020-02-25 13:00:31
88.54498,44.60298,2020-02-25 14:00:07
88.54259,44.32560,2020-02-25 15:00:07
88.54000,44.05606,2020-02-25 16:00:06
88.53717,43.80168,2020-02-25 17:00:13
88.53456,43.54555,2020-02-25 18:00:32
88.53165,43.29790,2020-02-25 19:00:07
88.52859,43.04093,2020-02-25 20:00:07
88.52481,42.77302,2020-02-25 21:00:13
88.52168,42.54202,2020-02-25 22:00:25
88.51830,42.27646,2020-02-25 23:00:21
88.51553,42.02010,2020-02-26 00:00:13
88.51201,41.80388,2020-02-26 01:00:16
88.50856,41.54707,2020-02-26 02:00:31
88.50539,41.32908,2020-02-26 03:00:07
88.50233,41.11559,2020-02-26 04:00:06
88.49939,40.90667,2020-02-26 05:00:11
88.49618,40.70952,2020-02-26 06:00:32
88.49297,40.51264,2020-02-26 07:00:06
88.48972,40.31337,2020-02-26 08:00:05
88.48636,40.11836,2020-02-26 09:00:09
88.48295,39.91720,2020-02-26 10:00:31
88.47968,39.71945,2020-02-26 11:00:07
88.47625,39.52423,2020-02-26 12:00:13
88.47280,39.33912,2020-02-26 13:00:07
88.46952,39.16194,2020-02-26 14:00:31
88.46625,39.00379,2020-02-26 15:00:07
88.46284,38.85268,2020-02-26 16:00:10
88.45945,38.71498,2020-02-26 17:00:09
88.45611,38.58662,2020-02-26 18:00:08
88.45290,38.43332,2020-02-26 19:00:11
88.44937,38.29695,2020-02-26 20:00:22
88.44624,38.14213,2020-02-26 21:00:30
88.44283,37.99520,2020-02-26 22:00:07
88.43938,37.84563,2020-02-26 23:00:11
88.43622,37.70056,2020-02-27 00:00:13
88.43256,37.54941,2020-02-27 01:00:29
88.42918,37.41460,2020-02-27 02:00:06
88.42598,37.29139,2020-02-27 03:00:08
88.42278,37.17679,2020-02-27 04:00:07
88.41970,37.06776,2020-02-27 05:00:09
88.41634,36.96072,2020-02-27 06:00:32
88.41313,36.85415,2020-02-27 07:00:07
88.40995,36.74130,2020-02-27 08:00:10
88.40667,36.61913,2020-02-27 09:00:32
88.40347,36.49285,2020-02-27 10:00:08
88.40023,36.36495,2020-02-27 11:00:11
88.39711,36.23148,2020-02-27 12:00:11
88.39405,36.09837,2020-02-27 13:00:32
88.39110,35.96738,2020-02-27 14:00:06
88.38829,35.83882,2020-02-27 15:00:05
88.38535,35.70704,2020-02-27 16:00:06
88.38268,35.58491,2020-02-27 17:00:31
88.37984,35.46059,2020-02-27 18:00:11
88.37710,35.33867,2020-02-27 19:00:08
88.37419,35.21373,2020-02-27 20:00:31
88.36840,34.96394,2020-02-27 21:56:52
88.36823,34.95700,2020-02-27 22:00:11
88.36518,34.82147,2020-02-27 23:00:10
88.36287,34.71336,2020-02-28 00:00:17
88.35948,34.55456,2020-02-28 01:00:31
88.35677,34.43519,2020-02-28 02:00:11
88.35406,34.32023,2020-02-28 03:00:11
88.35134,34.21282,2020-02-28 04:00:11
88.34858,34.11280,2020-02-28 05:00:19
88.34573,34.01583,2020-02-28 06:00:32
88.34290,33.92102,2020-02-28 07:00:11
88.34013,33.82478,2020-02-28 08:00:13
88.33715,33.73031,2020-02-28 09:00:15
88.33365,33.61082,2020-02-28 10:10:23
88.33118,33.52252,2020-02-28 11:00:17
88.32829,33.41983,2020-02-28 12:00:32
88.32565,33.32322,2020-02-28 13:00:14
88.32317,33.23824,2020-02-28 14:00:07
88.32050,33.15062,2020-02-28 15:00:09
88.31777,33.07125,2020-02-28 16:00:10
88.31493,32.99275,2020-02-28 17:00:10
88.31229,32.91710,2020-02-28 18:00:32
88.30951,32.83967,2020-02-28 19:00:08
88.30666,32.75314,2020-02-28 20:00:13
88.30362,32.66742,2020-02-28 21:00:11
88.30101,32.57951,2020-02-28 22:00:20
88.29794,32.47928,2020-02-28 23:00:15
88.29441,32.38991,2020-02-29 00:00:20
88.29192,32.28894,2020-02-29 01:00:25
88.28885,32.19896,2020-02-29 02:00:11
88.28629,32.11268,2020-02-29 03:00:09
88.28343,32.02808,2020-02-29 04:00:29
88.28069,31.94881,2020-02-29 05:00:09
88.27789,31.87869,2020-02-29 06:00:08
88.27512,31.81280,2020-02-29 07:00:07
88.27258,31.74957,2020-02-29 08:00:23
88.26952,31.68209,2020-02-29 09:00:21
88.26659,31.61045,2020-02-29 10:07:00
88.26415,31.54435,2020-02-29 11:00:07
88.26080,31.46359,2020-02-29 12:13:33
88.25872,31.41511,2020-02-29 13:00:04
88.25603,31.35709,2020-02-29 14:00:10
88.25340,31.30924,2020-02-29 15:00:09
88.25041,31.25938,2020-02-29 16:00:22
88.24744,31.22931,2020-02-29 17:00:14
88.24557,31.21650,2020-02-29 18:00:32
88.24321,31.19552,2020-02-29 19:00:08
88.24091,31.17422,2020-02-29 20:00:07
88.23848,31.15339,2020-02-29 21:00:20
88.23609,31.13652,2020-02-29 22:00:29
88.23354,31.11771,2020-02-29 23:00:07
88.23090,31.09847,2020-03-01 00:00:09
88.22823,31.07283,2020-03-01 01:00:22
88.22581,31.05350,2020-03-01 02:00:30
88.22338,31.04145,2020-03-01 03:00:20
88.22128,31.02849,2020-03-01 04:00:20
88.21944,31.02315,2020-03-01 05:00:21
88.21753,31.02267,2020-03-01 06:00:28
88.21587,31.03181,2020-03-01 07:00:20
88.21423,31.02179,2020-03-01 08:00:30
88.21249,31.01789,2020-03-01 09:06:08
88.21104,31.01214,2020-03-01 10:00:20
88.20942,31.01014,2020-03-01 11:00:21
88.20827,31.03359,2020-03-01 12:00:22
88.20617,31.00180,2020-03-01 13:00:29
88.20461,30.99766,2020-03-01 14:00:21
88.20321,30.99059,2020-03-01 15:00:15
88.20179,30.97956,2020-03-01 16:00:22
88.20071,30.98061,2020-03-01 17:00:22
88.19976,30.98788,2020-03-01 18:00:15
88.19875,30.98580,2020-03-01 19:00:31
88.19761,30.98621,2020-03-01 20:00:13
88.19644,30.98485,2020-03-01 21:00:21
88.19662,30.96885,2020-03-01 22:00:20
88.19370,30.96355,2020-03-01 23:00:30
88.19228,30.94909,2020-03-02 00:00:11
88.19086,30.92558,2020-03-02 01:00:08
88.18936,30.90614,2020-03-02 02:00:11
88.18797,30.89430,2020-03-02 03:00:11
88.18658,30.86810,2020-03-02 04:00:10
88.18530,30.83199,2020-03-02 05:00:11
88.18354,30.81897,2020-03-02 06:00:26
88.18194,30.80063,2020-03-02 07:00:19
88.18032,30.75373,2020-03-02 08:00:18
88.17847,30.75142,2020-03-02 09:00:30
88.17655,30.72890,2020-03-02 10:00:08
88.17440,30.70420,2020-03-02 11:00:09
88.17203,30.67957,2020-03-02 12:00:11
88.16976,30.64953,2020-03-02 13:00:11
88.16780,30.61305,2020-03-02 14:00:11
88.16584,30.56876,2020-03-02 15:00:15
88.16374,30.54143,2020-03-02 16:00:25
88.16164,30.51242,2020-03-02 17:00:21
88.15974,30.48570,2020-03-02 18:00:32
88.15748,30.46748,2020-03-02 19:00:14
88.15511,30.44241,2020-03-02 20:00:14
88.15278,30.41922,2020-03-02 21:00:15
88.14935,30.39077,2020-03-02 22:32:09
88.14824,30.37716,2020-03-02 23:00:15
88.14582,30.35029,2020-03-03 00:00:15
88.14339,30.31835,2020-03-03 01:00:18
88.14095,30.28002,2020-03-03 02:00:25
88.13866,30.25290,2020-03-03 03:00:26
88.13657,30.22111,2020-03-03 04:00:23
88.13448,30.20034,2020-03-03 05:00:21
88.13219,30.19090,2020-03-03 06:00:22
88.13017,30.18370,2020-03-03 07:00:14
88.12817,30.16695,2020-03-03 08:00:31
88.12632,30.15620,2020-03-03 09:00:07
88.12434,30.14070,2020-03-03 10:00:14
88.12209,30.13064,2020-03-03 11:00:14
88.11993,30.11302,2020-03-03 12:00:30
88.11784,30.09468,2020-03-03 13:00:08
88.11564,30.07869,2020-03-03 14:00:13
88.11367,30.06269,2020-03-03 15:00:09
88.11145,30.04062,2020-03-03 16:00:20
88.10982,30.04019,2020-03-03 17:00:31
88.10796,30.03005,2020-03-03 18:00:07
88.10625,30.02457,2020-03-03 19:00:10
88.10458,30.02259,2020-03-03 20:00:14
88.10299,30.01524,2020-03-03 21:00:15
88.10136,30.01188,2020-03-03 22:00:29
88.09979,30.01061,2020-03-03 23:00:07
88.09827,30.00565,2020-03-04 00:00:18
88.09681,29.99842,2020-03-04 01:00:22
88.09518,30.00048,2020-03-04 02:00:14
88.09402,30.00361,2020-03-04 03:00:15
88.09274,29.99228,2020-03-04 04:00:14
88.09089,29.99232,2020-03-04 05:00:15
88.09010,30.00895,2020-03-04 06:00:18
88.08875,30.02426,2020-03-04 07:00:27
88.08774,30.03964,2020-03-04 08:00:07
88.08624,30.06683,2020-03-04 09:00:08
88.08523,30.08791,2020-03-04 10:00:12
88.08392,30.09824,2020-03-04 11:00:09
88.08282,30.11418,2020-03-04 12:00:32
88.08205,30.12758,2020-03-04 13:00:11
88.08138,30.14409,2020-03-04 14:00:11
88.08083,30.15687,2020-03-04 15:00:12
88.07993,30.18617,2020-03-04 16:33:38
88.07983,30.19515,2020-03-04 17:00:17
88.07954,30.21128,2020-03-04 18:00:24
88.07898,30.25214,2020-03-04 19:27:28
88.07875,30.26685,2020-03-04 20:00:07
88.07835,30.29263,2020-03-04 21:00:07
88.07796,30.31514,2020-03-04 22:00:31
88.07767,30.33534,2020-03-04 23:00:07
88.07737,30.35316,2020-03-05 00:00:32
88.07727,30.36705,2020-03-05 01:00:08
88.07728,30.37694,2020-03-05 02:00:11
88.07726,30.38337,2020-03-05 03:00:11
88.07743,30.39152,2020-03-05 04:00:31
88.07765,30.39708,2020-03-05 05:00:07
88.07803,30.40622,2020-03-05 06:00:09
88.07833,30.40950,2020-03-05 07:00:08
88.07903,30.39226,2020-03-05 08:00:11
88.07923,30.41266,2020-03-05 09:00:12
88.07957,30.41630,2020-03-05 10:00:19
88.08019,30.42255,2020-03-05 11:00:31
88.08058,30.42077,2020-03-05 12:00:08
88.08106,30.41645,2020-03-05 13:00:08
88.08151,30.40706,2020-03-05 14:00:10
88.08202,30.39672,2020-03-05 15:00:18
88.08252,30.38131,2020-03-05 16:00:29
88.08299,30.36924,2020-03-05 17:00:07
88.08344,30.35596,2020-03-05 18:00:09
88.08425,30.33652,2020-03-05 19:00:10
88.08456,30.33017,2020-03-05 20:00:22
88.08559,30.29061,2020-03-05 21:00:32
88.08689,30.22581,2020-03-05 22:52:14
88.08692,30.22293,2020-03-05 23:00:10
88.08717,30.18677,2020-03-06 00:00:09
88.08691,30.15001,2020-03-06 01:00:25
88.08779,30.08096,2020-03-06 02:00:30
88.08797,30.02852,2020-03-06 03:00:11
88.08821,29.96361,2020-03-06 04:00:10
88.08811,29.90124,2020-03-06 05:00:09
88.08790,29.82039,2020-03-06 06:00:20
88.08808,29.71629,2020-03-06 07:00:31
88.08809,29.60864,2020-03-06 08:00:06
88.08795,29.50302,2020-03-06 09:00:07
88.08823,29.37594,2020-03-06 10:00:31
88.08812,29.25920,2020-03-06 11:00:06
88.08792,29.12916,2020-03-06 12:00:08
88.08723,29.01334,2020-03-06 13:00:14
88.08649,28.90302,2020-03-06 14:00:13
88.08546,28.77449,2020-03-06 15:00:08
88.08463,28.63664,2020-03-06 16:00:31
88.08356,28.50829,2020-03-06 17:00:10
88.08244,28.38061,2020-03-06 18:00:15
88.08072,28.26433,2020-03-06 19:00:07
88.07997,28.13244,2020-03-06 20:00:07
88.07900,28.00929,2020-03-06 21:00:07
88.07745,27.89878,2020-03-06 22:00:31
88.07585,27.78884,2020-03-06 23:00:06
88.07426,27.67597,2020-03-07 00:00:08
88.07267,27.55681,2020-03-07 01:00:07
88.07116,27.44490,2020-03-07 02:00:10
88.06952,27.33148,2020-03-07 03:00:08
88.06796,27.21817,2020-03-07 04:00:08
88.06625,27.09380,2020-03-07 05:00:31
88.06465,26.97960,2020-03-07 06:00:07
88.06302,26.86969,2020-03-07 07:00:08
88.06147,26.75323,2020-03-07 08:00:07
88.05949,26.66264,2020-03-07 09:00:32
88.05756,26.57065,2020-03-07 10:00:07
88.05559,26.47953,2020-03-07 11:00:06
88.05341,26.39063,2020-03-07 12:00:07
88.05135,26.30241,2020-03-07 13:00:07
88.04942,26.20744,2020-03-07 14:00:23
88.04764,26.11960,2020-03-07 15:00:18
88.04550,26.03285,2020-03-07 16:00:24
88.04374,25.94456,2020-03-07 17:00:15
88.04206,25.86428,2020-03-07 18:00:30
88.04011,25.78513,2020-03-07 19:00:06
88.03812,25.71011,2020-03-07 20:00:06
88.03595,25.63465,2020-03-07 21:00:32
88.03378,25.56226,2020-03-07 22:00:06
88.03155,25.48843,2020-03-07 23:00:09
88.02930,25.41619,2020-03-08 00:00:12
88.02709,25.34289,2020-03-08 01:00:22
88.02503,25.28015,2020-03-08 02:00:29
88.02262,25.21250,2020-03-08 03:00:18
88.02029,25.13845,2020-03-08 04:00:31
88.01785,25.07463,2020-03-08 05:00:06
88.01535,25.01297,2020-03-08 06:00:08
88.01295,24.94960,2020-03-08 07:00:07
88.01039,24.89250,2020-03-08 08:00:14
88.00762,24.84045,2020-03-08 09:02:11
88.00488,24.78695,2020-03-08 10:00:08
88.00209,24.73734,2020-03-08 11:00:09
87.99919,24.68788,2020-03-08 12:00:20
87.99609,24.64539,2020-03-08 13:00:22
87.99303,24.59157,2020-03-08 14:00:30
87.98782,24.52170,2020-03-08 15:30:44
87.98595,24.49971,2020-03-08 16:00:08
87.98228,24.44725,2020-03-08 17:00:07
87.97836,24.39645,2020-03-08 18:00:08
87.97426,24.34278,2020-03-08 19:00:16
87.96977,24.29173,2020-03-08 20:00:10
87.96519,24.24455,2020-03-08 21:00:09
87.96010,24.18577,2020-03-08 22:00:19
87.95488,24.14164,2020-03-08 23:00:30
87.94931,24.09436,2020-03-09 00:00:08
87.94350,24.04569,2020-03-09 01:00:10
87.93757,23.99689,2020-03-09 02:00:09
87.93176,23.95133,2020-03-09 03:00:11
87.92565,23.90421,2020-03-09 04:00:10
87.91946,23.86738,2020-03-09 05:00:09
87.91359,23.83509,2020-03-09 06:00:21
87.90760,23.79973,2020-03-09 07:00:14
87.90088,23.77609,2020-03-09 08:00:26
87.89427,23.75325,2020-03-09 09:00:13
87.88776,23.72761,2020-03-09 10:00:31
87.88132,23.71391,2020-03-09 11:00:07
87.87476,23.70143,2020-03-09 12:00:07
87.86817,23.69819,2020-03-09 13:00:08
87.86163,23.69203,2020-03-09 14:00:11
87.85522,23.69120,2020-03-09 15:00:32
87.84908,23.69589,2020-03-09 16:00:12
87.84295,23.70334,2020-03-09 17:00:11
87.83675,23.71401,2020-03-09 18:00:12
87.83051,23.72434,2020-03-09 19:00:12
87.82457,23.74467,2020-03-09 20:00:30
87.81833,23.76462,2020-03-09 21:00:08
87.81186,23.79139,2020-03-09 22:00:10
87.80534,23.82054,2020-03-09 23:00:11
87.79875,23.85317,2020-03-10 00:00:32
87.79248,23.89072,2020-03-10 01:00:10
87.78616,23.93126,2020-03-10 02:00:10
87.77901,23.98363,2020-03-10 03:10:16
87.77425,24.02246,2020-03-10 04:00:27
87.76841,24.06774,2020-03-10 05:00:22
87.76216,24.11993,2020-03-10 06:00:22
87.75644,24.16087,2020-03-10 07:00:28
87.75032,24.20408,2020-03-10 08:00:22
87.74405,24.24737,2020-03-10 09:00:32
87.73783,24.29342,2020-03-10 10:00:08
87.73158,24.34103,2020-03-10 11:00:09
87.72533,24.38405,2020-03-10 12:00:11
87.71932,24.42744,2020-03-10 13:00:22
87.71362,24.48055,2020-03-10 14:00:21
87.70785,24.52888,2020-03-10 15:00:24
87.70292,24.57822,2020-03-10 16:00:22
87.69717,24.63892,2020-03-10 17:17:53
87.69414,24.66833,2020-03-10 18:00:07
87.69020,24.70688,2020-03-10 19:00:08
87.68638,24.74360,2020-03-10 20:00:31
87.68285,24.77034,2020-03-10 21:00:08
87.67945,24.79022,2020-03-10 22:00:14
87.67614,24.80044,2020-03-10 23:00:09
87.67306,24.80238,2020-03-11 00:00:12
87.67035,24.78848,2020-03-11 01:00:20
87.66836,24.76312,2020-03-11 02:00:23
87.66701,24.72286,2020-03-11 03:00:22
87.66544,24.67514,2020-03-11 04:00:29
87.66434,24.62141,2020-03-11 05:00:21
87.66339,24.56399,2020-03-11 06:00:18
87.66248,24.49951,2020-03-11 07:00:16
87.66130,24.42709,2020-03-11 08:00:31
87.65972,24.34841,2020-03-11 09:00:08
87.65781,24.26587,2020-03-11 10:00:11
87.65536,24.17883,2020-03-11 11:00:31
87.65249,24.08928,2020-03-11 12:00:08
87.64892,23.99601,2020-03-11 13:00:14
87.64500,23.89783,2020-03-11 14:00:31
87.64108,23.80253,2020-03-11 15:00:07
87.63712,23.70506,2020-03-11 16:00:08
87.63322,23.60801,2020-03-11 17:00:31
87.62916,23.51069,2020-03-11 18:00:07
87.62482,23.40563,2020-03-11 19:00:07
87.62037,23.29675,2020-03-11 20:00:07
87.61511,23.17565,2020-03-11 21:00:09
87.60955,23.05362,2020-03-11 22:00:31
87.60323,22.92151,2020-03-11 23:00:09
87.59682,22.77808,2020-03-12 00:00:08
87.58999,22.63090,2020-03-12 01:00:07
87.58347,22.48870,2020-03-12 02:00:10
87.57684,22.34695,2020-03-12 03:00:32
87.57037,22.21771,2020-03-12 04:00:07
87.56377,22.09065,2020-03-12 05:00:10
87.55683,21.96645,2020-03-12 06:00:32
87.54973,21.84666,2020-03-12 07:00:12
87.54187,21.71941,2020-03-12 08:00:14
87.53430,21.59768,2020-03-12 09:00:12
87.52628,21.47418,2020-03-12 10:00:11
87.51797,21.34015,2020-03-12 11:00:10
87.51007,21.19624,2020-03-12 12:00:32
87.50201,21.06053,2020-03-12 13:00:12
87.49397,20.92299,2020-03-12 14:00:11
87.48598,20.79082,2020-03-12 15:00:13
87.47803,20.66735,2020-03-12 16:00:31
87.47015,20.55186,2020-03-12 17:00:17
87.46219,20.44271,2020-03-12 18:00:18
87.45430,20.33384,2020-03-12 19:00:19
87.44593,20.22235,2020-03-12 20:00:26
87.43750,20.12091,2020-03-12 21:00:30
87.42878,20.01138,2020-03-12 22:00:04
87.41970,19.90047,2020-03-12 23:00:07
87.40974,19.79560,2020-03-13 00:00:32
87.39978,19.69098,2020-03-13 01:00:08
87.38934,19.58261,2020-03-13 02:00:07
87.37882,19.47313,2020-03-13 03:00:26
87.36817,19.36379,2020-03-13 04:00:31
87.35806,19.27028,2020-03-13 05:00:07
87.34795,19.18065,2020-03-13 06:00:13
87.33815,19.09967,2020-03-13 07:00:07
87.32811,19.01750,2020-03-13 08:00:25
87.31839,18.92836,2020-03-13 09:00:22
87.30851,18.83877,2020-03-13 10:00:14
87.29860,18.73561,2020-03-13 11:00:30
87.28880,18.63295,2020-03-13 12:00:07
87.27874,18.53317,2020-03-13 13:00:07
87.26833,18.43593,2020-03-13 14:00:07
87.25774,18.34354,2020-03-13 15:00:30
87.24738,18.25290,2020-03-13 16:00:07
87.23683,18.17067,2020-03-13 17:00:06
87.22639,18.09413,2020-03-13 18:00:07
87.21612,18.02582,2020-03-13 19:00:08
87.20676,17.94772,2020-03-13 20:00:07
87.19770,17.87147,2020-03-13 21:00:07
87.18814,17.78793,2020-03-13 22:00:11
87.17983,17.71235,2020-03-13 23:00:09
87.17127,17.63504,2020-03-14 00:00:20
87.16327,17.56495,2020-03-14 01:00:25
87.15579,17.50143,2020-03-14 02:00:25
87.14838,17.43820,2020-03-14 03:00:07
87.14225,17.38087,2020-03-14 04:00:31
87.13687,17.33100,2020-03-14 05:00:07
87.13234,17.28318,2020-03-14 06:00:11
87.12891,17.23435,2020-03-14 07:00:08
87.12600,17.18848,2020-03-14 08:00:15
87.12368,17.13853,2020-03-14 09:00:22
87.12099,17.08870,2020-03-14 10:00:29
87.11823,17.04264,2020-03-14 11:00:07
87.11526,16.99100,2020-03-14 12:00:07
87.11243,16.94275,2020-03-14 13:00:08
87.10991,16.89572,2020-03-14 14:00:07
87.10739,16.85762,2020-03-14 15:00:32
87.10538,16.82136,2020-03-14 16:00:08
87.10329,16.78613,2020-03-14 17:00:07
87.10146,16.74657,2020-03-14 18:00:11
87.09989,16.69810,2020-03-14 19:00:29
87.09844,16.64620,2020-03-14 20:00:06
87.09706,16.59651,2020-03-14 21:00:08
87.09560,16.54486,2020-03-14 22:00:11
